chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Duhart-Milon,Pauillac,4,2024,91.0,60.0,93,0,WineSearcher,Pauillac,Pauillac,92.0
Giscours,Margaux,3,2000,91.0,,93,0,IEEE,Margaux,Margaux,92.0
Giscours,Margaux,3,2001,92.0,,91,0,IEEE,Margaux,Margaux,91.0
Giscours,Margaux,3,2002,90.0,,91,0,IEEE,Margaux,Margaux,91.0
Giscours,Margaux,3,2003,91.0,,93,0,IEEE,Margaux,Margaux,91.0
Giscours,Margaux,3,2004,90.0,,92,0,IEEE,Margaux,Margaux,92.0
Giscours,Margaux,3,2005,93.0,,93,0,IEEE,Margaux,Margaux,93.0
Giscours,Margaux,3,2006,91.0,,92,0,IEEE,Margaux,Margaux,90.0
Giscours,Margaux,3,2007,89.0,,91,0,IEEE,Margaux,Margaux,90.0
Giscours,Margaux,3,2008,89.0,,92,0,IEEE,Margaux,Margaux,92.0
Giscours,Margaux,3,2009,93.0,,94,0,IEEE,Margaux,Margaux,93.0
Giscours,Margaux,3,2010,94.0,,94,0,IEEE,Margaux,Margaux,93.0
Giscours,Margaux,3,2011,91.0,,92,0,IEEE,Margaux,Margaux,90.0
Giscours,Margaux,3,2012,90.0,,92,0,IEEE,Margaux,Margaux,91.0
Giscours,Margaux,3,2013,87.0,,91,0,IEEE,Margaux,Margaux,91.0
Giscours,Margaux,3,2014,91.0,,94,0,IEEE,Margaux,Margaux,92.0
Giscours,Margaux,3,2015,93.0,,94,0,IEEE,Margaux,Margaux,93.0
Giscours,Margaux,3,2016,92.0,,96,0,IEEE,Margaux,Margaux,94.0
Giscours,Margaux,3,2017,92.0,91.0,94,0,WineSearcher,Margaux,Margaux,94.0
Giscours,Margaux,3,2018,93.0,96.0,96,0,WineSearcher,Margaux,Margaux,95.0
Giscours,Margaux,3,2019,94.0,87.0,96,0,WineSearcher,Margaux,Margaux,95.0
Giscours,Margaux,3,2020,94.0,79.0,95,0,WineSearcher,Margaux,Margaux,93.0
Giscours,Margaux,3,2021,92.0,79.0,94,0,WineSearcher,Margaux,Margaux,92.0
Giscours,Margaux,3,2022,94.0,100.0,96,0,WineSearcher,Margaux,Margaux,95.0
